Section,Field1,Field2,Field3,Field4
Personal_Info,Name,Carol Lee,,
Personal_Info,Age,28,,
Personal_Info,Occupation,Teacher,,
Personal_Info,City,New York,,
Transactions,2025-01-01,Grocery,55,Food
Transactions,2025-01-02,Coffee,10,Food
Transactions,2025-01-03,Spotify,10,Entertainment
Transactions,2025-01-07,Rent,1800,Housing
Transactions,2025-01-08,Internet,60,Utilities
Investments,ETF,SPY,12,3000
Investments,Stock,MSFT,8,1800
Investments,Crypto,ADA,100,150
Benefits,Cashback,Bank of America,4,Monthly
Benefits,Gym Membership,YMCA,0,Free
Benefits,Travel Voucher,Delta Airlines,100,Yearly
