# Personal Info
Field,Value
Name,Alice Johnson
Age,30
Monthly_Income,9314
Monthly_Expenses,6419
Primary_Bank,Citi
Credit_Cards,"Discover, CapitalOne Venture, Amex Blue"
Loans,"Mortgage, Personal Loan"
Memberships,"Gym, Airline Club, Costco, Spotify"
Insurance_Policies,"Home, Auto"

# Bank Transactions
Date,Description,Amount,Category
2025-01-01,Utilities,1831.94,Insurance
2025-01-02,Grocery,1671.2,Bills
2025-01-03,Grocery,1831.18,Housing
2025-01-04,Online Shopping,1922.27,Subscriptions
2025-01-05,Utilities,262.85,Transport
2025-01-06,Online Shopping,1969.29,Housing
2025-01-07,Travel,881.66,Shopping
2025-01-08,Rent,53.93,Entertainment
2025-01-09,Online Shopping,1329.72,Food
2025-01-10,Subscription,1548.25,Health
2025-01-11,Gas,1827.28,Housing
2025-01-12,Rent,1163.29,Food
2025-01-13,Subscription,27.3,Insurance
2025-01-14,Restaurant,1289.92,Bills
2025-01-15,Travel,1348.17,Food
2025-01-16,Electronics,1672.09,Insurance
2025-01-17,Medical,845.1,Travel
2025-01-18,Utilities,506.56,Subscriptions
2025-01-19,Utilities,662.24,Bills
2025-01-20,Utilities,274.58,Entertainment
2025-01-21,Rent,1854.06,Health
2025-01-22,Medical,79.81,Health
2025-01-23,Medical,1363.91,Bills
2025-01-24,Utilities,459.3,Insurance
2025-01-25,Utilities,1975.16,Insurance
2025-01-26,Subscription,1736.91,Subscriptions
2025-01-27,Coffee,1870.28,Subscriptions
2025-01-28,Travel,11.48,Entertainment
2025-01-29,Travel,1325.95,Travel
2025-01-30,Subscription,1877.51,Food
2025-01-31,Rent,1268.58,Transport
2025-02-01,Travel,1617.65,Health
2025-02-02,Grocery,1517.15,Food
2025-02-03,Electronics,1198.81,Transport
2025-02-04,Subscription,1927.34,Entertainment
2025-02-05,Subscription,1561.37,Bills
2025-02-06,Rent,376.78,Shopping
2025-02-07,Travel,621.62,Insurance
2025-02-08,Insurance,1549.93,Entertainment
2025-02-09,Gas,520.0,Bills
2025-02-10,Gym,173.75,Subscriptions
2025-02-11,Insurance,572.63,Health
2025-02-12,Travel,397.85,Subscriptions
2025-02-13,Online Shopping,905.22,Housing
2025-02-14,Gym,155.73,Health
2025-02-15,Electronics,934.06,Shopping
2025-02-16,Restaurant,846.84,Bills
2025-02-17,Insurance,128.04,Entertainment
2025-02-18,Gas,1155.93,Food
2025-02-19,Insurance,1450.98,Subscriptions
2025-02-20,Gym,1127.14,Bills
2025-02-21,Insurance,996.96,Insurance
